Year,Date_of_event,Disaster_Internal_Displacements,Hazard_Type
2008,2008-11-16T00:00:00Z,1000,Storm
2009,2009-01-01T00:00:00Z,7500,Wildfire
2010,2010-01-01T00:00:00Z,1000,Flood
2011,2011-01-01T00:00:00Z,10000,Storm
2012,2012-01-01T00:00:00Z,16000,Flood
2013,2013-03-21T00:00:00Z,62,Storm
2013,2013-01-05T00:00:00Z,3000,Wildfire
2013,2013-03-21T00:00:00Z,9000,Storm
2013,2013-01-01T00:00:00Z,130,Wildfire
2013,2013-10-01T00:00:00Z,540,Wildfire
2014,2014-01-01T00:00:00Z,31,Wildfire
2014,2014-01-11T00:00:00Z,140,Wildfire
2014,2014-04-10T00:00:00Z,1000,Storm
2015,2015-08-25T00:00:00Z,300,Flood
2015,2015-11-15T00:00:00Z,300,Wildfire
2015,2015-02-19T00:00:00Z,800,Storm
2015,2015-03-22T00:00:00Z,400,Storm
2015,2015-05-01T00:00:00Z,260,Flood
2015,2015-12-19T00:00:00Z,300,Wildfire
2015,2015-11-25T00:00:00Z,2500,Wildfire
2015,2015-04-21T00:00:00Z,520,Flood
2015,2015-01-02T00:00:00Z,70,Wildfire
2015,2015-03-12T00:00:00Z,180,Storm
2015,2015-12-15T00:00:00Z,78,Storm
2016,2016-12-25T00:00:00Z,100,Flood
2016,2016-07-08T00:00:00Z,28,Flood
2016,2016-01-07T00:00:00Z,700,Wildfire
2016,2016-01-05T00:00:00Z,850,Flood
2016,2016-06-05T00:00:00Z,500,Flood
2016,2016-02-03T00:00:00Z,20,Flood
2016,2016-06-06T00:00:00Z,130,Flood
2016,2016-09-14T00:00:00Z,210,Flood
2016,2016-09-24T00:00:00Z,700,Flood
2017,2017-07-18T00:00:00Z,520,Wildfire
2017,2017-02-20T00:00:00Z,74,Storm
2017,2017-10-16T00:00:00Z,31,Flood
2017,2017-01-19T00:00:00Z,130,Wildfire
2017,2017-08-19T00:00:00Z,80,Storm
2017,2017-02-12T00:00:00Z,94,Wildfire
2017,2017-03-28T00:00:00Z,30000,Storm
2017,2017-12-01T00:00:00Z,10,Flood
2018,2018-07-24T00:00:00Z,300,Storm
2018,2018-04-14T00:00:00Z,100,Wildfire
2018,2018-08-14T00:00:00Z,100,Wildfire
2018,2018-11-28T00:00:00Z,8000,Wildfire
2018,2018-03-20T00:00:00Z,700,Wildfire
2018,2018-05-11T00:00:00Z,4,Flood
2018,2018-10-01T00:00:00Z,1,Wildfire
2018,2018-08-17T00:00:00Z,8,Wildfire
2018,2018-09-24T00:00:00Z,10,Wildfire
2018,2018-08-17T00:00:00Z,5,Wildfire
2018,2018-11-26T00:00:00Z,800,Wildfire
2018,2018-12-02T00:00:00Z,80,Storm
2018,2018-11-30T00:00:00Z,10,Wildfire
2018,2018-11-28T00:00:00Z,10,Flood
2018,2018-12-24T00:00:00Z,50,Wildfire
2018,2018-03-18T00:00:00Z,210,Wildfire
2018,2018-03-10T00:00:00Z,520,Flood
2018,2018-03-16T00:00:00Z,130,Storm
2018,2018-03-26T00:00:00Z,40,Storm
2018,2018-03-13T00:00:00Z,180,Wildfire
2019,2019-02-12T00:00:00Z,29,Wildfire
2019,2019-03-18T00:00:00Z,1100,Storm
2019,2019-06-01T00:00:00Z,2,Wildfire
2019,2019-01-15T00:00:00Z,1400,Wildfire
2019,2019-03-01T00:00:00Z,1500,Wildfire
2019,2019-11-01T00:00:00Z,840,Wildfire
2019,2019-02-12T00:00:00Z,26,Wildfire
2019,2019-10-28T00:00:00Z,2,Wildfire
2019,2019-08-01T00:00:00Z,1000,Wildfire
2019,2019-12-01T00:00:00Z,610,Wildfire
2019,2019-11-01T00:00:00Z,4200,Wildfire
2019,2019-01-30T00:00:00Z,1300,Flood
2019,2019-12-01T00:00:00Z,2100,Wildfire
2019,2019-02-20T00:00:00Z,5,Wildfire
2019,2019-11-08T00:00:00Z,8400,Wildfire
2019,2019-08-01T00:00:00Z,540,Wildfire
2019,2019-03-19T00:00:00Z,1800,Storm
2020,2020-10-19T00:00:00Z,1,Flood
2020,2020-01-07T00:00:00Z,200,Storm
2020,2020-12-12T00:00:00Z,200,Flood
2020,2020-01-01T00:00:00Z,5,Wildfire
2020,2020-01-01T00:00:00Z,17000,Wildfire
2020,2020-01-01T00:00:00Z,330,Wildfire
2020,2020-12-07T00:00:00Z,10,Storm
2020,2020-12-16T00:00:00Z,40,Wildfire
2020,2020-10-03T00:00:00Z,5,Wildfire
2020,2020-12-14T00:00:00Z,2,Wildfire
2020,2020-10-17T00:00:00Z,60,Wildfire
2020,2020-10-14T00:00:00Z,10,Wildfire
2020,2020-11-29T00:00:00Z,5,Wildfire
2020,2020-01-01T00:00:00Z,130,Wildfire
2020,2020-02-06T00:00:00Z,4000,Flood
2020,2020-10-31T00:00:00Z,3,Storm
2020,2020-12-04T00:00:00Z,2,Wildfire
2020,2020-05-20T00:00:00Z,10,Storm
2020,2020-01-01T00:00:00Z,26000,Wildfire
2020,2020-01-01T00:00:00Z,3800,Wildfire
2021,2021-03-17T00:00:00Z,40000,Flood
2021,2021-02-05T00:00:00Z,24,Flood
2021,2021-01-02T00:00:00Z,300,Wildfire
2021,2021-03-29T00:00:00Z,340,Storm
2021,2021-06-09T00:00:00Z,520,Flood
2021,2021-01-11T00:00:00Z,5,Wildfire
2021,2021-02-25T00:00:00Z,210,Flood
2021,2021-11-09T00:00:00Z,200,Flood
2021,2021-01-11T00:00:00Z,100,Wildfire
2021,2021-10-29T00:00:00Z,18,Storm
2021,2021-11-09T00:00:00Z,4,Flood
2021,2021-01-02T00:00:00Z,200,Wildfire
2021,2021-09-29T00:00:00Z,3,Storm
2021,2021-11-09T00:00:00Z,50,Flood
2021,2021-09-30T00:00:00Z,5000,Storm
2021,2021-12-08T00:00:00Z,45,Wildfire
2021,2021-01-18T00:00:00Z,200,Storm
2021,2021-06-19T00:00:00Z,6,Storm
2021,2021-12-26T00:00:00Z,10,Wildfire
2021,2021-11-09T00:00:00Z,850,Flood
2021,2021-01-24T00:00:00Z,20,Wildfire
2021,2021-02-01T00:00:00Z,110,Wildfire
2021,2021-07-06T00:00:00Z,3,Storm
2021,2021-02-01T00:00:00Z,440,Wildfire
2021,2021-06-09T00:00:00Z,280,Flood
